inventory_id,part_num,color_id,quantity,is_spare
49,3003,14,1,f
49,3004,1,1,f
49,3020,1,1,f
49,3022,4,1,f
49,3023,4,1,f
49,3024,14,2,f
49,3039,4,1,f
49,3040b,14,1,f
49,3040b,1,2,f
49,3298pr0040,14,1,f
49,3660,14,1,f
49,3665,1,2,f
49,3665,14,2,f
49,3710,4,1,f
49,3710,14,2,f
49,4286,14,3,f
49,6141,15,1,t
49,6141,15,2,f
52,190155,9999,1,f
52,194c04,7,4,f
52,298c02,7,2,f
52,3001,14,2,f
52,3003,15,6,f
52,3004,0,5,f
52,3004,15,11,f
52,3005,15,13,f
52,3005,0,6,f
52,3008,15,7,f
52,3008,0,3,f
52,3009,15,5,f
52,3009,0,1,f
52,3010,4,1,f
52,3020,15,4,f
52,3021,4,3,f
52,3021,15,1,f
52,3021,14,6,f
52,3021,0,2,f
52,3022,0,1,f
52,3022,4,4,f
52,3022,14,4,f
52,3023,15,5,f
52,3024,47,2,f
52,3024,15,7,f
52,3024,36,2,f
52,3034,4,2,f
52,3035,15,1,f
52,3035,0,2,f
52,3040bpr0011,0,1,f
52,3044bpr0001,7,2,f
52,3062b,7,2,f
52,3062b,4,1,f
52,3062b,14,5,f
52,3068b,7,3,f
52,3068b,15,13,f
52,3069b,15,7,f
52,3070b,15,2,f
52,309pr0001,7,1,f
52,3135,1,1,f
52,3136,7,1,f
52,3456,4,3,f
52,3456,0,1,f
52,3460,14,8,f
52,3460,15,2,f
52,3622,15,8,f
52,3623,1,2,f
52,3623,15,4,f
52,3641,0,7,f
52,3666,15,1,f
52,3710,14,8,f
52,3710,15,3,f
52,3710,7,1,f
52,3788,15,2,f
52,3794a,15,2,f
52,3795,15,1,f
52,3821pr0007,15,1,f
52,3822pr0007,15,1,f
52,3823,47,1,f
52,3829c01,4,1,f
52,3852a,6,1,f
52,3937,0,1,f
52,3937,15,3,f
52,3938,0,1,f
52,3938,15,3,f
52,3941pr0002,7,2,f
52,4006,0,1,f
52,4070,15,3,f
52,4070,4,4,f
52,4081a,15,4,f
52,4083,7,1,f
52,4083,1,2,f
52,4085b,15,4,f
52,4175,7,1,f
52,4212b,4,1,f
52,4213,4,1,f
52,4214,4,1,f
52,4345a,15,1,f
52,4346,15,1,f
52,4347,7,2,f
52,4477,14,4,f
52,4477,7,1,f
52,4522,0,1,f
52,4590,0,2,f
52,4599a,4,1,f
52,4600,0,2,f
52,4624,7,7,f
52,4629c01,1,1,f
52,4859,15,2,f
52,6141,0,6,f
52,6141,4,2,f
52,6141,15,4,f
52,6141,46,2,f
52,73194c01,0,1,f
52,73590c01a,0,1,f
54,2412b,0,2,f
54,2460,14,1,f
54,2479,1,1,f
54,30000,8,2,f
54,3001,15,1,f
54,3001,1,1,f
54,3003,1,2,f
54,3003,14,2,f
54,3003,4,2,f
54,3003,15,2,f
54,3004,1,4,f
54,3004,14,4,f
54,3004,4,2,f
54,3004,15,4,f
54,3005,14,6,f
54,3005,4,4,f
54,3005,15,6,f
54,3005,1,6,f
54,3005pr9996,4,2,f
54,3010,15,4,f
54,3010,1,4,f
54,3010,14,2,f
54,3010,4,2,f
54,3020,4,2,f
54,3030,4,1,f
54,3034,4,2,f
54,3039,1,2,f
54,3039,47,1,f
54,3062b,15,8,f
54,3297,1,2,f
54,3298,1,4,f
54,3298pr0005,1,2,f
54,3483,0,4,f
54,3622,1,2,f
54,3633,14,2,f
54,3660,1,2,f
54,3710,4,2,f
54,3741,2,1,f
54,3742,4,3,f
54,3742,4,1,t
54,3829c01,14,1,f
54,3865,2,1,f
54,3957a,14,1,f
54,4070,1,2,f
54,4286,1,2,f
54,4287a,1,2,f
54,6248,4,4,f
55,3959,7,1,f
55,4349,0,1,f
55,4360,7,1,f
55,4479,0,1,f
56,2343,1,1,f
56,2357,19,4,f
56,2420,72,10,f
56,2420,73,8,f
56,2431,73,11,f
56,2432,19,2,f
56,2445,0,1,f
56,2449,19,4,f
56,2458,71,2,f
56,2554,0,2,f
56,2564,0,1,f
56,2566,0,1,f
56,2817,0,1,f
56,30000,71,1,f
56,3001,19,1,f
56,3001,71,4,f
56,3001,0,1,f
56,3002,320,2,f
56,3002,19,2,f
56,3003,0,4,f
56,3004,19,12,f
56,3004,0,2,f
56,30044,320,3,f
56,30046,134,3,f
56,3007,0,2,f
56,3008,0,1,f
56,3008,19,2,f
56,3009,0,2,f
56,30099,19,6,f
56,3010,19,5,f
56,30103,0,1,f
56,30104,0,1,f
56,30126,72,1,f
56,30126,72,1,t
56,30136,19,4,f
56,30152pat0001,0,1,f
56,30154,72,1,f
56,3020,70,4,f
56,3020,14,2,f
56,3021,0,3,f
56,3022,19,4,f
56,3023,72,14,f
56,3023,73,16,f
56,30237a,71,4,f
56,3024,72,6,f
56,3024,73,4,f
56,3027,72,1,f
56,3031,70,1,f
56,3034,0,1,f
56,30355,72,1,f
56,30356,72,1,f
56,30374,0,1,f
56,30374,70,1,f
56,3039,320,3,f
56,3039,72,2,f
56,3040b,19,4,f
56,3040b,72,8,f
56,3040b,320,4,f
56,30414,72,2,f
56,3044b,19,2,f
56,3062b,0,5,f
56,3062b,47,5,f
56,3062b,320,46,f
56,3062b,19,12,f
56,3068b,73,8,f
56,3068bpr0058,15,1,f
56,3068bpr0131,15,1,f
56,3069b,73,8,f
56,3069bpr0055,15,1,f
56,32013,0,1,f
56,32073,71,1,f
56,32123b,71,1,t
56,32123b,71,4,f
56,32324,71,1,f
56,32530,0,2,f
56,33009,4,1,f
56,3455,19,2,f
56,3460,320,3,f
56,3581,19,2,f
56,3622,19,12,f
56,3623,73,18,f
56,3623,320,7,f
